date,symbol,asset_type,strategy,position,close
2024-10-01,TLKM,stock_id,Buy & Hold (benchmark),1.0,2588.43701171875
2024-10-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2502.72705078125
2024-10-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2477.01416015625
2024-10-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2468.443115234375
2024-10-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2485.585205078125
2024-10-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2562.72412109375
2024-10-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,2537.010986328125
2024-10-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2528.43994140625
2024-10-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2519.869140625
2024-10-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2485.585205078125
2024-10-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,2519.869140625
2024-10-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2571.294921875
2024-10-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2605.578857421875
2024-10-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,2657.004638671875
2024-10-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,2657.004638671875
2024-10-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2579.86572265625
2024-10-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2519.869140625
2024-10-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2485.585205078125
2024-10-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2494.156005859375
2024-10-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,2502.72705078125
2024-10-29,TLKM,stock_id,Buy & Hold (benchmark),1.0,2485.585205078125
2024-10-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,2485.585205078125
2024-10-31,TLKM,stock_id,Buy & Hold (benchmark),1.0,2417.017333984375
2024-11-01,TLKM,stock_id,Buy & Hold (benchmark),1.0,2382.7333984375
2024-11-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2399.875244140625
2024-11-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,2374.162353515625
2024-11-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2348.44921875
2024-11-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2365.59130859375
2024-11-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2357.020263671875
2024-11-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2305.59423828125
2024-11-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,2228.45556640625
2024-11-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,2211.313720703125
2024-11-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2168.458740234375
2024-11-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,2177.029541015625
2024-11-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,2219.884521484375
2024-11-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,2382.7333984375
2024-11-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2297.0234375
2024-11-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,2374.162353515625
2024-11-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2357.020263671875
2024-11-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2348.44921875
2024-11-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,2322.736328125
2024-11-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,2331.307373046875
2024-11-29,TLKM,stock_id,Buy & Hold (benchmark),1.0,2322.736328125
2024-12-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2297.0234375
2024-12-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2417.017333984375
2024-12-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2434.159423828125
2024-12-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,2374.162353515625
2024-12-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2365.59130859375
2024-12-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,2348.44921875
2024-12-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2374.162353515625
2024-12-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2451.301025390625
2024-12-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,2417.017333984375
2024-12-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,2391.30419921875
2024-12-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2279.88134765625
2024-12-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2245.59765625
2024-12-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,2202.74267578125
2024-12-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,2168.458740234375
2024-12-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2185.600830078125
2024-12-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2271.310546875
2024-12-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2348.44921875
2024-12-27,TLKM,stock_id,Buy & Hold (benchmark),1.0,2357.020263671875
2024-12-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,2322.736328125
2025-01-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2314.16552734375
2025-01-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2357.020263671875
2025-01-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2305.59423828125
2025-01-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2202.74267578125
2025-01-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2271.310546875
2025-01-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,2245.59765625
2025-01-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2297.0234375
2025-01-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,2288.45263671875
2025-01-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2245.59765625
2025-01-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,2254.16845703125
2025-01-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2219.884521484375
2025-01-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2279.88134765625
2025-01-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2237.026611328125
2025-01-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,2254.16845703125
2025-01-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2339.87841796875
2025-01-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2322.736328125
2025-01-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2305.59423828125
2025-01-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,2262.739501953125
2025-01-31,TLKM,stock_id,Buy & Hold (benchmark),1.0,2279.88134765625
2025-02-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2254.16845703125
2025-02-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2262.739501953125
2025-02-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,2245.59765625
2025-02-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2194.171630859375
2025-02-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2219.884521484375
2025-02-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2091.31982421875
2025-02-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,1988.468017578125
2025-02-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,2125.603759765625
